sw.dat auto written
1 2
1946  2020
3  15
1
0.398  	0.705  	1.182  	1.719  	2.458  	3.565  	4.71  	7.801  	8.956  	12.621  	14.544  	16.466  	18.388
0.518  	1.136  	1.743  	2.428  	3.214  	4.538  	6.88  	10.719  	9.445  	12.621  	14.544  	16.466  	18.388
0.44  	0.931  	1.812  	2.716  	3.895  	5.176  	6.774  	9.598  	12.427  	12.621  	14.544  	16.466  	18.388
0.344  	1.172  	1.82  	2.823  	4.031  	5.497  	6.765  	8.571  	10.847  	12.621  	14.544  	16.466  	18.388
0.237  	0.757  	1.419  	2.458  	3.845  	5.374  	6.648  	7.653  	8.136  	12.916  	16.114  	16.466  	18.388
0.197  	0.487  	1.141  	2.118  	3.504  	4.915  	6.949  	9.051  	9.775  	11.409  	15.248  	18.62  	18.388
0.206  	0.482  	0.98  	2.041  	3.52  	5.507  	7.74  	9.922  	10.63  	12.093  	13.533  	17.659  	21.171
0.211  	0.537  	1.11  	1.876  	3.381  	5.258  	8.546  	10.653  	10.776  	13.232  	14.313  	15.745  	20.122
0.242  	0.561  	1.179  	1.936  	2.944  	4.583  	7.092  	10.7  	12.042  	13.771  	15.607  	16.617  	18.021
0.209  	0.514  	1.183  	2.007  	3.037  	4.479  	6.512  	10.028  	11.117  	14.698  	16.215  	18.057  	18.981
0.194  	0.465  	1.218  	1.963  	3.064  	4.12  	5.746  	7.157  	9.961  	14.589  	17.26  	18.733  	20.557
0.284  	0.513  	1.21  	2.25  	3.299  	5.066  	6.373  	9.29  	11.456  	13.317  	17.138  	19.887  	21.294
0.23  	0.603  	1.184  	2.138  	3.336  	4.81  	6.912  	8.809  	10.475  	12.534  	15.703  	19.752  	22.549
0.233  	0.551  	1.317  	2.022  	3.239  	4.984  	6.727  	8.422  	14.226  	12.524  	14.815  	18.164  	22.403
0.24  	0.55  	1.074  	2.038  	2.911  	4.402  	6.263  	8.535  	10.197  	12.371  	14.803  	17.176  	20.674
0.225  	0.61  	1.083  	1.87  	3.002  	3.971  	5.789  	8.127  	12.759  	12.611  	14.63  	17.163  	19.594
0.252  	0.591  	1.219  	2.014  	3.028  	4.434  	5.999  	7.774  	9.954  	13.679  	14.902  	16.97  	19.58
0.249  	0.663  	1.329  	2.127  	3.183  	4.59  	6.477  	8.88  	12.124  	12.261  	16.111  	17.274  	19.368
0.286  	0.726  	1.418  	2.41  	3.331  	4.914  	6.747  	8.851  	10.393  	12.776  	14.504  	18.617  	19.701
0.274  	0.652  	1.353  	2.312  	3.803  	5.103  	6.75  	9.252  	10.119  	12.323  	15.09  	16.83  	21.168
0.258  	0.608  	1.208  	2.01  	3.088  	4.903  	6.498  	7.992  	9.689  	12.467  	14.574  	17.483  	19.214
0.225  	0.6  	1.097  	1.926  	2.861  	4.403  	6.531  	8.648  	9.885  	12.508  	14.738  	16.909  	19.929
0.227  	0.555  	1.182  	1.834  	2.831  	4.124  	6.056  	8.584  	11.498  	12.249  	14.785  	17.092  	19.3
0.247  	0.577  	1.134  	1.998  	2.841  	4.015  	5.523  	8.077  	10.304  	13.207  	14.491  	17.144  	19.501
0.216  	0.577  	1.137  	1.791  	2.781  	3.85  	5.245  	6.992  	9.378  	12.746  	15.578  	16.816  	19.558
0.229  	0.54  	1.134  	1.934  	2.753  	4.081  	5.315  	7.135  	8.947  	11.778  	15.056  	18.025  	19.198
0.21  	0.536  	1.001  	1.812  	2.72  	3.958  	5.64  	7.064  	8.569  	10.885  	13.954  	17.445  	20.522
0.255  	0.675  	1.107  	1.896  	2.826  	4.158  	5.7  	7.628  	9.071  	10.634  	12.934  	16.216  	19.888
0.286  	0.62  	1.188  	1.949  	2.768  	4.059  	5.749  	7.38  	9.097  	10.8  	12.646  	15.073  	18.54
0.24  	0.603  	1.085  	1.82  	3.025  	4.296  	5.891  	7.293  	9.667  	11.186  	12.837  	14.749  	17.28
0.148  	0.503  	1.055  	1.692  	2.59  	4.064  	5.617  	7.673  	9.313  	11.306  	13.278  	14.964  	16.922
