"R(age 3)" "SSB" "Fbar(5-10)"
-0.0825664179513513 -0.0478757679742821 0.00528434559683665
0.219022768996333 0.0767086083873811 -0.0677419698798488
-0.124128237211271 0.00603166644153774 -0.0484969204716671
0.029762929640021 0.0685953930835633 -0.0990862107389515
-0.174322575245176 -0.0610572099741045 0.0770438283794183
0.0439680824081457 0.0833118420243687 -0.0417437425357593
-0.0345873199960721 -0.0945541643634827 0.0312479553222685
0.106500674575297 0.198790594608306 -0.0846746798215076
-0.00380819962388589 0.0293170407797932 -0.0601138544209925
0.439726643686782 0.0239296295069359 -0.038024433725483
