"R(age 3)" "SSB" "Fbar(5-10)"
0.203751336359512 0.163071760491088 -0.112671695545656
0.573870658904564 0.271456149532765 -0.16586983907337
0.149025210682615 0.20433224788785 -0.157756785436749
0.318853543299352 0.251019233135133 -0.194425780574305
0.0441741044920678 0.0910260992264995 -0.0209485062730107
0.396096460245488 0.295217647759385 -0.156793087046384
0.18513925866049 -0.0122648959269152 -0.0427849492545801
0.468368603426076 0.463298139289023 -0.196301546412306
0.280319453937951 0.157045245195737 -0.15183257644896
0.865480893079767 0.184272921901714 -0.144327103270675
