"R(age 3)" "SSB" "Fbar(5-10)"
-0.0698492048788708 -0.0478720585872608 -0.00760911568296212
0.225439767663415 0.085676181611935 -0.0669880933178288
-0.123534565376807 0.0157915642119892 -0.0702333900215248
0.0340360189908927 0.0676594285302011 -0.104746238867522
-0.182265006949424 -0.0494681492684454 0.0570664941590028
0.0568375179112875 0.0940754256522777 -0.0483698912244142
-0.0219871473565158 -0.0953674419485174 0.0303695998708505
0.125986585744002 0.216744109525826 -0.0997340318990985
0.020104763061021 0.0385603949398607 -0.0620441424751572
0.464722196650879 0.0362390609678293 -0.0508696178635239
