"R(age 2)" "SSB" "Fbar(4-8)"
0.0497076248457244 -0.0223008133585204 0.014184385640447
0.127304982857041 0.147598271621631 -0.129934725459835
0.118419560216289 -0.000461461422243008 0.0389683771976558
-0.0288754617248009 -0.0916529377882996 0.0780544692336804
0.100039794101355 -0.0547119085427497 0.0382558232410744
0.131276788489138 -0.0547828068452846 0.0802855996912479
0.159289808195391 0.0329855282335957 -0.043200101518902
0.300127143152354 0.230557736202779 -0.168234951034302
0.154013645585144 0.092949190473582 -0.0661148603655018
0.112178825692637 0.039052661674019 -0.0520285545953348
