"R(age 2)" "SSB" "Fbar(4-8)"
-0.264269919220027 -0.222504539244904 0.332138205392292
-0.212044690462274 0.0190852595480641 -0.0505685515297933
-0.0649184924337133 0.0681866547779856 -0.0785182846655866
-0.269036198996433 -0.174656919075632 0.20707820447659
-0.25711240449314 -0.246066365039721 0.361388531193882
-0.200045280438368 -0.218630669174172 0.351719291717866
-0.244512068415884 -0.18125144166021 0.247627172777994
-0.143208817205124 -0.0156428971474203 0.00498182533794665
0.125646068604373 0.418869359567162 -0.270591927527068
0.00255417839560347 0.218882283009504 -0.152227242608717
