"R(age 2)" "SSB" "Fbar(4-8)"
0.158489077910625 0.0991377225313847 -0.0988808913479401
0.248875172320166 0.0622916565600042 -0.0332584810970039
0.0680173667151481 0.0359028508599182 0.00336654524153411
0.188035106340691 -0.0306213687006862 0.0236933258463779
-0.120645215106482 -0.014355088494086 0.00916267636738428
0.053598305357189 0.0538650939547018 -0.0369841583484288
0.205532415067376 0.00778121093007848 0.038388000641178
0.130295766234871 -0.0173057996190655 0.00405073962383329
0.0397764633618418 0.0705635858143447 -0.0991823224052707
0.0517937364732214 -0.0774911914520955 0.0764618000112519
0.0335819800211653 -0.0442415278213036 0.0126636860798196
0.202545095164829 0.113311400904288 -0.10432208943961
0.0521897547502065 0.216845127103286 -0.189879287801944
0.362425097237053 0.126763478465537 -0.0967432924410824
0.191002887880877 -0.0522454399058977 0.042493920635276
0.0615835212931267 0.109797398642133 -0.042687885854621
0.255004817292026 -0.0391142411243008 0.0727148173423646
-0.0316225090254217 -0.0675132934753032 0.0572409891301622
0.0256178438936298 0.0250684608822898 -0.0390087919492153
0.207432158980485 0.100023920429897 -0.0997957347916902
