"R(age 3)" "SSB" "Fbar(5-10)"
-0.0803319665701095 -0.0668075907911933 0.0135127636047919
0.235974719393127 0.0954746657134566 -0.0788242826015889
-0.112020314022911 0.0134978022831797 -0.0516110971320883
0.00983792108153404 0.070611368412519 -0.106274171183608
-0.171679852696736 -0.0605694631798575 0.0818596125015598
0.0544961353650987 0.0866118275904223 -0.0393999795589178
-0.0310396479007779 -0.0863532157940642 0.0260681195981896
0.11928027378914 0.228372260986989 -0.0938507021566479
-0.0141057574199477 0.0345052605001536 -0.0585934627886748
0.402804591320769 0.0055705636966679 -0.0251303577420188
