"R(age 2)" "SSB" "Fbar(4-8)"
0.0641799190889632 -0.0159366060211941 0.00832306077897973
0.156852724392306 0.202418138163353 -0.151084459520866
0.14366645931573 -0.0159259016167474 0.0634217976130027
-0.0551904338501773 -0.167205840517724 0.160598485998657
0.150463459814305 -0.0552014042689276 0.0509491180844021
0.160749296868449 -0.0477076694387632 0.0676707199877143
0.155112016622814 0.0474318044991427 -0.0491232850559657
0.455013005887685 0.296816132719536 -0.206299817956848
0.141601885600697 0.107276716654478 -0.0609176385380525
0.130572433790092 -0.0189812984899687 -0.00433046698305379
