"R(age 2)" "SSB" "Fbar(4-8)"
0.105099767859543 -0.0292553383883675 0.0322198533459451
0.175551145756054 0.153177511868611 -0.129015844534746
0.137153617705672 -0.0078941369038325 0.0204096163463737
0.0456141287012477 -0.11161395679883 0.10687082910654
0.0638815326973327 -0.0376961000244404 0.0372498487578479
0.189093956698331 -0.101994424473954 0.133645469599111
0.162899686960664 -0.0486931845277014 0.0422867675326091
0.222735910209786 0.200618600143602 -0.145980572022598
0.138485353744396 0.0793896219610083 -0.0394816353216593
0.160666155235654 0.0236017708198298 -0.0283541137701705
