"R(age 3)" "SSB" "Fbar(5-10)"
-0.0563876008661373 -0.0210105222542412 -0.00051153989024385
0.20039816614834 0.0470326713194265 -0.0428843589586168
-0.140053358354142 -0.0369039045198574 -0.00818287966213236
0.0183594957182102 0.0324781259975209 -0.0753381940551786
-0.211111348414039 -0.10374958761151 0.125003042484802
0.0654711803829447 0.099607041613218 -0.0529738975618613
0.0472863233959767 -0.070765179574705 0.00676706450289609
0.11894915602358 0.192678705794946 -0.0777607773722797
-0.0039436871969415 -0.0177652622115379 -0.0378714873237682
0.420190653217374 -0.0258320800365674 0.00887271222053501
