"R(age 3)" "SSB" "Fbar(5-10)"
-0.0794756941237932 -0.0445403705899475 -0.00794691583635503
0.22691136671705 0.0820635993947102 -0.0759854786526006
-0.156948331420515 0.00809786488761938 -0.0516709392285164
0.0140847415134504 0.0886201127969955 -0.108595059192759
-0.208927212341747 -0.0826871443546947 0.112626259792786
0.105687484553193 0.109863831397038 -0.0590460273371783
-0.0279277663124634 -0.101564544478094 0.0319210267562966
0.131746755463089 0.240311387044396 -0.107390673972584
-0.00663137262777078 0.0109382354696688 -0.0686632705520312
0.657531130313047 0.0768808574184598 -0.0700940359023255
