"R(age 2)" "SSB" "Fbar(4-8)"
0.128781362746198 0.036594705323977 -0.0453449374534856
0.235449993559335 0.400232183949463 -0.299409006912427
0.413879230829606 0.435655717936875 -0.284615767460493
0.209623305539201 0.225759199708318 -0.176243694689418
0.184067395650501 0.0393568165123598 -0.0562976156374864
0.156587510439966 -0.00457034310709394 0.0178338081797554
0.175844492132694 0.0839121697388477 -0.0890690453040347
0.358363214871503 0.358068102706118 -0.248446218554173
0.678305985592125 0.764000440155592 -0.390756730523597
0.610634008364742 0.686110965044152 -0.37608605395267
